Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Albany Park,14,Senior,Mayfair Commons,4444 W. Lawrence Ave.,60630,773-205-7862,"Metroplex, Inc.",97,1145674.7538177613,1931569.979044555,41.9682242321,-87.7397474866,"4444 W. Lawrence Ave.
(41.9682242321, -87.7397474866)"
Albany Park,14,Senior,Senior Suites of Ravenswood Manor,2800 W. Montrose Ave.,60618,773-509-9333,Senior Lifestyle Corp.,80,1156898.5139453819,1929148.4609726223,41.9613586525,-87.6985441744,"2800 W. Montrose Ave.
(41.9613586525, -87.6985441744)"
Albany Park,14,Senior,Darul Amaan Senior Living,4814-58 N. Kedzie Ave.,60625,773-463-3004,East Lake Management & Development Corp.,56,,,,,
Ashburn ,70,Senior,Wrightwood Senior Apartments,2815 W. 79th St.,60652,773-471-7777,Ludwig and Company,85,1158906.9337661215,1852040.9542699235,41.7497264566,-87.6932733372,"2815 W. 79th St.
(41.7497264566, -87.6932733372)"
Auburn Gresham,71,Multifamily,Stone Terrace,8440 S. Parnell Ave.,60620,773-651-9234,East Lake Management & Development Corp.,56,1174067.0161528846,1848682.073813996,41.740186358,-87.6378199128,"8440 S. Parnell Ave.
(41.740186358, -87.6378199128)"
Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apartments,1222 W. 79th St.,60620,773-994-7850,Catholic Charities Housing Devp.,80,1169422.9298314867,1852437.4683081156,41.7505934139,-87.6547267546,"1222 W. 79th St.
(41.7505934139, -87.6547267546)"
Auburn Gresham,71,Senior,Senior Suites of Auburn-Gresham,1050 W. 79th St.,60620,773-723-0333,Senior Lifestyle Corp.,85,1170460.9005370243,1852465.7954619504,41.7506486193,-87.6509223206,"1050 W. 79th St.
(41.7506486193, -87.6509223206)"
Auburn Gresham,71,Senior HUD 202,Naomi & Sylvester Smith Senior Living Ctr.,8019-55 S. Halsted St.,60620,773-651-6400,"HSR Property Services, LLC",59,1172404.4659361218,1851597.1338227245,41.7482223777,-87.6438256988,"8019-55 S. Halsted St.
(41.7482223777, -87.6438256988)"
Auburn Gresham,71,Senior,Auburn Commons,1626 W. 87th St.,60620,773-238-0850,"Urban Property Advisors, LLC",72,1166895.2399723816,1847057.795509487,41.7358851523,-87.6641427166,"1626 W. 87th St.
(41.7358851523, -87.6641427166)"
Austin,25,Multifamily,Pine Central,557 N. Pine Ave.,60644,773-568-1020,NHS Redevelopment Corp.,78,1139471.8964290908,1903210.8349472568,41.8905193977,-87.7632486365,"557 N. Pine Ave.
(41.8905193977, -87.7632486365)"
Austin,25,Senior,Senior Suites of Austin,335 N. Menard Ave.,60644,773-378-0333,Senior Lifestyle Corp.,84,1137686.376645474,1901819.130569767,41.8867327472,-87.7698395847,"335 N. Menard Ave.
(41.8867327472, -87.7698395847)"
Austin,22,Multifamily,Madison Renaissance Apts.,1816 N. St. Louis Ave.,60647,773-227-1366,Related Management Co. LP,30,1152824.2609262054,1911838.8695456833,41.9139416392,-87.7139831909,"1816 N. St. Louis Ave.
(41.9139416392, -87.7139831909)"
Austin,25,Supportive Housing,Menard Apartments,334 N. Menard Ave.,60644,773-572-5272,The Thresholds,57,1137606.4146619358,1901816.6645631457,41.8867274207,-87.7701332901,"334 N. Menard Ave.
(41.8867274207, -87.7701332901)"
Austin,25,Multifamily,Rebecca Walker Complex,126 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,40,1139038.207738362,1898825.9744650354,41.8784946733,-87.7649480305,"126 S. Central Ave.
(41.8784946733, -87.7649480305)"
